2025-05-16 11:21:37,733 - WARNING - Unknown metal Mn for node ALOLIY, defaulting to Cu
2025-05-16 11:21:37,734 - WARNING - Unknown metal V for node ALOVEC, defaulting to Cu
2025-05-16 11:21:37,736 - WARNING - Unknown metal La for node ALUJEX, defaulting to Cu
2025-05-16 11:21:37,737 - WARNING - Unknown metal Ce for node ALUJIB, defaulting to Cu
2025-05-16 11:21:37,738 - WARNING - Unknown metal Nd for node ALUJOH, defaulting to Cu
2025-05-16 11:21:37,739 - WARNING - Unknown metal Y for node ALUJUN, defaulting to Cu
2025-05-16 11:21:37,740 - WARNING - Unknown metal Dy for node ALUKAU, defaulting to Cu
2025-05-16 11:21:37,742 - WARNING - Unknown metal Ce for node ALUKIC, defaulting to Cu
2025-05-16 11:21:37,743 - WARNING - Unknown metal Sm for node ALUKOI, defaulting to Cu
2025-05-16 11:21:37,744 - WARNING - Unknown metal Eu for node ALUKUO, defaulting to Cu
2025-05-16 11:21:37,746 - WARNING - Unknown metal Gd for node ALULAV, defaulting to Cu
2025-05-16 11:21:37,747 - WARNING - Unknown metal Ce for node ALULEZ, defaulting to Cu
2025-05-16 11:21:37,748 - WARNING - Unknown metal Ce for node ALULID, defaulting to Cu
2025-05-16 11:21:37,749 - WARNING - Unknown metal Cd for node AMAFIE, defaulting to Cu
2025-05-16 11:21:37,754 - WARNING - Unknown metal Pb for node AMAJUU, defaulting to Cu
2025-05-16 11:21:37,755 - WARNING - Unknown metal Nd for node AMALND, defaulting to Cu
2025-05-16 11:21:37,756 - WARNING - Unknown metal Ag for node AMBZAG10, defaulting to Cu
2025-05-16 11:21:37,758 - WARNING - Unknown metal Pb for node AMEBAX, defaulting to Cu
2025-05-16 11:21:37,760 - WARNING - Unknown metal Cd for node AMIKOX, defaulting to Cu
2025-05-16 11:21:37,761 - WARNING - Unknown metal Eu for node AMIWID, defaulting to Cu
2025-05-16 11:21:37,763 - WARNING - Unknown metal Gd for node AMIWOJ, defaulting to Cu
2025-05-16 11:21:37,764 - WARNING - Unknown metal Tb for node AMIWUP, defaulting to Cu
2025-05-16 11:21:37,765 - WARNING - Unknown metal Dy for node AMIXAW, defaulting to Cu
2025-05-16 11:21:37,766 - WARNING - Unknown metal Ho for node AMIXEA, defaulting to Cu
2025-05-16 11:21:37,768 - WARNING - Unknown metal Er for node AMIXIE, defaulting to Cu
2025-05-16 11:21:37,769 - WARNING - Unknown metal Nd for node AMIXOK, defaulting to Cu
2025-05-16 11:21:37,770 - WARNING - Unknown metal Yb for node AMIXUQ, defaulting to Cu
2025-05-16 11:21:37,774 - WARNING - Unknown metal Ni for node AMIZAZ, defaulting to Cu
2025-05-16 11:21:37,775 - WARNING - Unknown metal Ni for node AMIZAZ01, defaulting to Cu
2025-05-16 11:21:37,776 - WARNING - Unknown metal Ni for node AMIZAZ02, defaulting to Cu
2025-05-16 11:21:37,783 - WARNING - Unknown metal Tb for node AMODUC, defaulting to Cu
2025-05-16 11:21:37,784 - WARNING - Unknown metal Eu for node AMOFAK, defaulting to Cu
2025-05-16 11:21:37,788 - WARNING - Unknown metal K for node AMOPID, defaulting to Cu
2025-05-16 11:21:37,789 - WARNING - Unknown metal Sm for node AMOROK, defaulting to Cu
2025-05-16 11:21:37,790 - WARNING - Unknown metal Ca for node AMUCOB, defaulting to Cu
2025-05-16 11:21:37,791 - WARNING - Unknown metal Mg for node AMURUX, defaulting to Cu
2025-05-16 11:21:37,793 - WARNING - Unknown metal Mg for node AMURUX01, defaulting to Cu
2025-05-16 11:21:37,794 - WARNING - Unknown metal Mg for node AMURUX02, defaulting to Cu
2025-05-16 11:21:37,795 - WARNING - Unknown metal Mg for node AMURUX06, defaulting to Cu
2025-05-16 11:21:37,796 - WARNING - Unknown metal Mg for node AMURUX07, defaulting to Cu
2025-05-16 11:21:37,797 - WARNING - Unknown metal Mg for node AMURUX08, defaulting to Cu
2025-05-16 11:21:37,799 - WARNING - Unknown metal Mg for node AMURUX09, defaulting to Cu
2025-05-16 11:21:37,800 - WARNING - Unknown metal Mg for node AMURUX10, defaulting to Cu
2025-05-16 11:21:37,801 - WARNING - Unknown metal Mg for node AMURUX11, defaulting to Cu
2025-05-16 11:21:37,802 - WARNING - Unknown metal In for node ANAWAP, defaulting to Cu
2025-05-16 11:21:37,803 - WARNING - Unknown metal In for node ANAWIX, defaulting to Cu
2025-05-16 11:21:37,805 - WARNING - Unknown metal In for node ANAWOD, defaulting to Cu
2025-05-16 11:21:37,806 - WARNING - Unknown metal K for node ANAYUL, defaulting to Cu
2025-05-16 11:21:37,807 - WARNING - Unknown metal Na for node ANAZAS, defaulting to Cu
2025-05-16 11:21:37,808 - WARNING - Unknown metal Cd for node ANEQAM, defaulting to Cu
2025-05-16 11:21:37,816 - WARNING - Unknown metal Na for node APANAI, defaulting to Cu
2025-05-16 11:21:37,817 - WARNING - Unknown metal Mn for node APARAM, defaulting to Cu
2025-05-16 11:21:37,819 - WARNING - Unknown metal Eu for node APAYIB, defaulting to Cu
2025-05-16 11:21:37,820 - WARNING - Unknown metal Tb for node APAYOH, defaulting to Cu
2025-05-16 11:21:37,821 - WARNING - Unknown metal La for node APAYUN, defaulting to Cu
2025-05-16 11:21:37,823 - WARNING - Unknown metal Eu for node APAZAU, defaulting to Cu
2025-05-16 11:21:37,824 - WARNING - Unknown metal Tb for node APAZEY, defaulting to Cu
2025-05-16 11:21:37,825 - WARNING - Unknown metal La for node APAZIC, defaulting to Cu
2025-05-16 11:21:37,827 - WARNING - Unknown metal La for node APAZOI, defaulting to Cu
2025-05-16 11:21:37,829 - WARNING - Unknown metal Cd for node APETAS, defaulting to Cu
2025-05-16 11:21:37,835 - WARNING - Unknown metal Ba for node AQAJIM, defaulting to Cu
2025-05-16 11:21:37,836 - WARNING - Unknown metal Ni for node AQALUZ, defaulting to Cu
2025-05-16 11:21:37,838 - WARNING - Unknown metal Ni for node AQALUZ01, defaulting to Cu
2025-05-16 11:21:37,844 - WARNING - Unknown metal Cd for node AQIQAU, defaulting to Cu
2025-05-16 11:21:37,847 - WARNING - Unknown metal La for node AQIVIF, defaulting to Cu
2025-05-16 11:21:37,849 - WARNING - Unknown metal Sm for node AQIVOL, defaulting to Cu
2025-05-16 11:21:37,850 - WARNING - Unknown metal Nd for node AQMAND, defaulting to Cu
2025-05-16 11:21:37,851 - WARNING - Unknown metal Nd for node AQMAND01, defaulting to Cu
2025-05-16 11:21:37,852 - WARNING - Unknown metal Cd for node AQOJUL, defaulting to Cu
