refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Community ID,Gravity,Degree Centrality,Betweenness Centrality,Edge Weight Sum
SEGVEH,OC(=O)CNCC(=O)O,Tb,2.21283,1.10164,2.21283,138,0.39987335850177025,0.75,0.007142857142857143,5.081387867984667
SEGVOR,OC(=O)CNCC(=O)O,Gd,2.21599,1.13063,2.21551,49,0.5428695558496291,0.7692307692307693,0.005494505494505493,8.486271618768981
SEGVUX,OC(=O)CNCC(=O)O,Dy,2.20994,1.10232,2.20963,361,0.9299734570601407,1.0,0.013333333333333334,5.145392915784943
SEGWAF,OC(=O)c1cc(c2ccc(cc2)C(=O)O)c(c(c1)c1ccc(cc1)C(=O)O)N,Zn,6.21761,4.95558,5.76386,5,0.2987845150263262,0.22476735862562633,8.966602593293509e-05,263.2233732545378
SEHSII,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Tb,3.1781,0.95009,3.14562,9,0.6217308810779344,0.5279187817258882,0.028453296038225363,88.81183543620706
SEHSOO,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Ho,3.04804,0.91159,3.04804,29,0.7424173494909541,0.5111111111111112,0.12022038226583678,19.643120110971005
SEHSUU,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Er,3.05626,0.89633,3.04521,10,0.8199525839650782,0.550561797752809,0.0473006924172704,42.20336747680104
SEHTEF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Y,3.07418,0.90868,3.07418,55,0.4874390779308926,0.6388888888888888,0.014363525085158447,20.229544245239186
SEHXIN,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Eu,6.0459,5.63363,6.0459,8,0.8046650819033657,0.4858299595141701,0.053655830053988864,102.76076833082678
SEJHEV,C#Cc1ccc(cc1)C#N,Ag,2.32444,1.11067,2.3139,1,0.4342503728464932,0.10176991150442477,0.050931141353360625,18.78708196340117
SEJSOQ,OC(=O)C[C@@H](C(=O)O)O,Mn,2.02797,1.00392,2.00251,224,0.3333333333333333,1.0,0.0,8.517315553653026
SEJSUW,OC(=O)C[C@@H](C(=O)O)O,Co,1.90522,0.88122,1.90522,394,0.0,1.0,0.0,0.9977715764740228
